seconds,gps_longitude,gps_latitude,gps_speed,gps_altitude,gps_bearing,gps_time,Timestamp
8.738822601,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:01.552823000
8.804398174,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:01.618398000
8.885542549,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:01.699543000
8.969528747,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:01.783529000
9.051332444,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:01.865332000
9.132693746,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:01.946694000
9.215006612,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.029007000
9.296383747,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.110384000
9.378278122,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.192278000
9.460476351,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.274476000
9.542167132,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.356167000
9.623994216,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.437994000
9.70471083,29.58036668,30.87841807,1.75,44.0,144.5,1513085402000.0,2017-12-12 03:30:02.518711000
9.785956403,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:02.599956000
9.867718382,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:02.681718000
9.950127497,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:02.764127000
10.030955934,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:02.844956000
10.11318083,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:02.927181000
10.195921143,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.009921000
10.27975333,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.093753000
10.361704475,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.175704000
10.443083121,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.257083000
10.524445674,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.338445999
10.606152184,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.420152000
10.686562028,29.5803967,30.87839061,2.25,49.0,145.1999969482422,1513085403000.0,2017-12-12 03:30:03.500562000
10.766586716,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:03.580587000
10.84797713,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:03.661977000
10.928886194,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:03.742886000
11.011020725,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:03.825021000
11.102123798,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:03.916124000
11.175967965,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:03.989968000
11.256870152,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:04.070870000
11.336797183,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:04.150797000
11.419217131,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:04.233217000
11.500802183,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:04.314801999
11.6080151,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:04.422015000
11.665427652,29.5804245,30.87837487,2.75,48.0,146.60000610351562,1513085404000.0,2017-12-12 03:30:04.479428000
11.78625859,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:04.600259000
11.839216662,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:04.653217000
11.921059579,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:04.735060000
12.001631454,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:04.815631000
